algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
UCS,24,8097,132,132,0.023070096969604492,True,1
A*,24,3769,132,132,0.011860132217407227,True,1
RANDOM,24,8,0,0,2.6702880859375e-05,False,2
BFS,24,8097,132,789,0.017241716384887695,True,2
DFS,24,1383,1264,4297,0.003706216812133789,True,2
DLS50,24,673,0,0,0.0011756420135498047,False,2
DLS75,24,1108,0,0,0.003265857696533203,False,2
DLS100,24,1957,0,0,0.004061698913574219,False,2
UCS,24,8128,132,771,0.024721384048461914,True,2
A*,24,3655,132,771,0.012799978256225586,True,2
RANDOM,25,9,0,0,2.6464462280273438e-05,False,1
BFS,25,2747,57,57,0.005744218826293945,True,1
DFS,25,9055,1443,1443,0.02541351318359375,True,1
DLS50,25,320,0,0,0.0005948543548583984,False,1
DLS75,25,456,0,0,0.00128173828125,False,1
DLS100,25,379,0,0,0.0007295608520507812,False,1
UCS,25,2747,57,57,0.007860183715820312,True,1
A*,25,394,57,57,0.0011756420135498047,True,1
RANDOM,25,7,0,0,2.5987625122070312e-05,False,2
BFS,25,2747,57,147,0.005685567855834961,True,2
DFS,25,9055,1443,4305,0.05246472358703613,True,2
DLS50,25,320,0,0,0.0006618499755859375,False,2
DLS75,25,456,0,0,0.0014717578887939453,False,2
DLS100,25,379,0,0,0.0008342266082763672,False,2
UCS,25,1121,57,147,0.0038220882415771484,True,2
A*,25,394,57,147,0.0013768672943115234,True,2
RANDOM,26,22,0,0,5.936622619628906e-05,False,1
BFS,26,2346,40,40,0.00594639778137207,True,1
DFS,26,6800,6286,6286,0.02144908905029297,True,1
DLS50,26,113,50,50,0.0001823902130126953,True,1
DLS75,26,560,70,70,0.0016326904296875,True,1
DLS100,26,576,98,98,0.0011413097381591797,True,1
UCS,26,2346,40,40,0.006917476654052734,True,1
A*,26,120,40,40,0.0004253387451171875,True,1
RANDOM,26,8,0,0,2.956390380859375e-05,False,2
BFS,26,2346,40,67,0.009052276611328125,True,2
DFS,26,6800,6286,19543,0.024800539016723633,True,2
DLS50,26,113,50,113,0.00017547607421875,True,2
DLS75,26,560,70,187,0.0015881061553955078,True,2
DLS100,26,576,98,179,0.001146078109741211,True,2
UCS,26,597,40,67,0.0020935535430908203,True,2
A*,26,120,40,67,0.0004036426544189453,True,2
RANDOM,27,8,0,0,2.1457672119140625e-05,False,1
BFS,27,7541,109,109,0.01644158363342285,True,1
DFS,27,5283,4979,4979,0.04008674621582031,True,1
DLS50,27,661,0,0,0.0014057159423828125,False,1
DLS75,27,503,0,0,0.0015559196472167969,False,1
DLS100,27,763,0,0,0.001935720443725586,False,1
UCS,27,7541,109,109,0.025153398513793945,True,1
A*,27,2428,109,109,0.008533000946044922,True,1
RANDOM,27,37,0,0,0.00021719932556152344,False,2
BFS,27,7541,109,469,0.01689743995666504,True,2
DFS,27,5283,4979,14555,0.015462875366210938,True,2
DLS50,27,661,0,0,0.001222372055053711,False,2
DLS75,27,503,0,0,0.0013599395751953125,False,2
DLS100,27,763,0,0,0.0017790794372558594,False,2
UCS,27,5095,109,469,0.015868186950683594,True,2
A*,27,2428,109,469,0.008031368255615234,True,2
RANDOM,28,6,0,0,1.5497207641601562e-05,False,1
BFS,28,1305,27,27,0.0029392242431640625,True,1
DFS,28,519,491,491,0.0013837814331054688,True,1
DLS50,28,706,47,47,0.0012094974517822266,True,1
DLS75,28,958,53,53,0.0026590824127197266,True,1
DLS100,28,909,89,89,0.0021741390228271484,True,1
UCS,28,1305,27,27,0.0037670135498046875,True,1
A*,28,158,27,27,0.0004830360412597656,True,1
RANDOM,28,8,0,0,2.86102294921875e-05,False,2
BFS,28,1305,27,198,0.0031578540802001953,True,2
DFS,28,519,491,1328,0.001390218734741211,True,2
DLS50,28,706,47,254,0.0014145374298095703,True,2
DLS75,28,958,53,242,0.002578258514404297,True,2
DLS100,28,909,89,368,0.002222299575805664,True,2
UCS,28,3182,27,198,0.009560823440551758,True,2
A*,28,158,27,198,0.0004973411560058594,True,2
RANDOM,29,36,0,0,0.00010848045349121094,False,1
BFS,29,7914,99,99,0.016775846481323242,True,1
DFS,29,1942,1847,1847,0.005371570587158203,True,1
DLS50,29,1507,0,0,0.0025734901428222656,False,1
DLS75,29,1702,0,0,0.004965305328369141,False,1
DLS100,29,3156,0,0,0.006600379943847656,False,1
UCS,29,7914,99,99,0.022591114044189453,True,1
A*,29,2105,99,99,0.006403684616088867,True,1
RANDOM,29,5,0,0,3.719329833984375e-05,False,2
BFS,29,7914,99,540,0.016846179962158203,True,2
DFS,29,1942,1847,5708,0.005118370056152344,True,2
DLS50,29,1507,0,0,0.002570629119873047,False,2
DLS75,29,1702,0,0,0.004864692687988281,False,2
DLS100,29,3156,0,0,0.006899833679199219,False,2
UCS,29,6514,99,540,0.019891977310180664,True,2
A*,29,2105,99,540,0.007251262664794922,True,2
RANDOM,30,3,0,0,1.33514404296875e-05,False,1
BFS,30,2592,44,44,0.0054187774658203125,True,1
DFS,30,7843,7124,7124,0.048688411712646484,True,1
DLS50,30,1283,0,0,0.002599954605102539,False,1
DLS75,30,1895,0,0,0.006454944610595703,False,1
DLS100,30,4012,0,0,0.009849071502685547,False,1
UCS,30,2592,44,44,0.008846521377563477,True,1
A*,30,267,44,44,0.0009171962738037109,True,1
RANDOM,30,5,0,0,2.3603439331054688e-05,False,2
BFS,30,2592,44,359,0.0063822269439697266,True,2
DFS,30,7843,7124,21569,0.02434086799621582,True,2
DLS50,30,1283,0,0,0.0022585391998291016,False,2
DLS75,30,1895,0,0,0.005521535873413086,False,2
DLS100,30,4012,0,0,0.009092330932617188,False,2
UCS,30,5903,44,359,0.01840043067932129,True,2
A*,30,267,44,359,0.0008590221405029297,True,2
