algorithm_name,env_n,size,best_solution,H,states,time
SA,7,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,811,0.007268
SA,8,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,484,0.004252
SA,9,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,721,0.006324
SA,10,8,"[5, 2, 6, 1, 3, 7, 0, 4]",0,910,0.008020
SA,11,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,892,0.007823
SA,12,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,856,0.007628
SA,13,8,"[1, 5, 2, 0, 7, 0, 4, 6]",1,1795,0.017117
SA,14,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,685,0.005997
SA,15,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,1364,0.011991
SA,16,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,682,0.006009
SA,17,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,739,0.006504
SA,18,8,"[1, 7, 4, 6, 0, 2, 5, 7]",1,1795,0.015965
SA,19,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,638,0.005592
SA,20,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,924,0.008193
SA,21,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,629,0.005278
SA,22,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,1568,0.013177
SA,23,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,914,0.008132
SA,24,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,1120,0.009436
SA,25,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,633,0.005292
SA,26,8,"[2, 4, 7, 0, 0, 3, 1, 6]",1,1795,0.015865
SA,27,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,717,0.006262
SA,28,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,823,0.007253
SA,29,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,1530,0.013226
SA,30,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,1628,0.013681
SA,1,10,"[6, 8, 0, 4, 1, 5, 2, 9, 7, 3]",0,845,0.009681
SA,2,10,"[7, 2, 6, 9, 1, 8, 4, 0, 3, 5]",1,1840,0.021169
SA,3,10,"[5, 2, 6, 9, 7, 1, 3, 0, 8, 4]",0,1332,0.015273
SA,4,10,"[1, 4, 7, 5, 8, 2, 0, 6, 3, 9]",0,1831,0.021035
SA,5,10,"[4, 0, 7, 3, 6, 8, 1, 5, 9, 2]",0,1082,0.012614
SA,6,10,"[7, 3, 6, 9, 1, 4, 0, 8, 3, 5]",1,1840,0.023153
SA,7,10,"[4, 1, 3, 9, 6, 4, 2, 0, 5, 7]",1,1840,0.022484
SA,8,10,"[6, 9, 1, 4, 0, 8, 3, 5, 0, 2]",1,1840,0.021339
SA,9,10,"[6, 2, 0, 7, 4, 8, 5, 9, 1, 3]",0,1071,0.012260
SA,10,10,"[7, 9, 3, 5, 2, 8, 6, 4, 1, 5]",1,1840,0.021121
SA,11,10,"[3, 7, 4, 1, 3, 0, 6, 8, 5, 2]",1,1840,0.021066
SA,12,10,"[3, 7, 4, 8, 0, 9, 6, 2, 5, 1]",0,1394,0.016007
SA,13,10,"[6, 3, 9, 4, 8, 0, 2, 7, 5, 1]",0,1424,0.016307
SA,14,10,"[2, 4, 8, 0, 3, 1, 7, 5, 3, 9]",1,1840,0.021238
SA,15,10,"[3, 7, 9, 4, 1, 5, 0, 2, 6, 8]",0,839,0.009568
SA,16,10,"[6, 4, 7, 0, 3, 5, 8, 1, 9, 2]",0,911,0.010411
SA,17,10,"[6, 8, 3, 7, 9, 2, 5, 1, 4, 0]",1,1840,0.021069
SA,18,10,"[2, 4, 7, 0, 8, 3, 1, 6, 9, 5]",0,1318,0.015177
SA,19,10,"[8, 0, 2, 7, 5, 1, 9, 4, 6, 3]",0,1363,0.015676
SA,20,10,"[0, 5, 3, 8, 6, 2, 9, 1, 4, 7]",0,1113,0.012824
SA,21,10,"[6, 8, 0, 4, 1, 5, 2, 9, 7, 3]",0,884,0.010180
SA,22,10,"[7, 5, 2, 0, 9, 3, 8, 6, 4, 1]",1,1840,0.021194
SA,23,10,"[3, 6, 2, 9, 5, 0, 8, 4, 7, 1]",0,1638,0.018808
SA,24,10,"[5, 9, 1, 6, 4, 2, 0, 8, 3, 7]",0,1077,0.012351
SA,25,10,"[5, 3, 8, 4, 2, 9, 6, 1, 7, 0]",0,1223,0.015869
